scenario_id,wall,roof,floor,glazing,airtightness,ventilation,shading,hp_type,hp_capacity_kw,flow_temperature_c,emitter,heat_loss_w_k,annual_heating_demand_kwh,peak_heat_load_kw,seasonal_cop,heat_pump_electricity_kwh,backup_heat_kwh,operational_emissions_kgco2,baseline_oil_emissions_kgco2,emissions_reduction_pct,retrofit_cost_eur,overheating_hours,sequential_penalty_proxy
S46585,deep,deep,improved,triple,deep,mvhr,none,ground_source,6.0,35.0,low_temp_emitters,72.56,6290.8,1.67,4.77,1318.5,0.0,390.3,1971.6,80.2,75000.0,176.5,1.2
S46633,deep,deep,improved,triple,deep,mvhr,external,ground_source,6.0,35.0,low_temp_emitters,72.56,6290.8,1.67,4.77,1318.5,0.0,390.3,1971.6,80.2,77200.0,141.5,1.2
S41401,deep,moderate,improved,triple,deep,mvhr,none,ground_source,6.0,35.0,low_temp_emitters,75.31,6529.2,1.73,4.77,1368.5,0.0,405.1,2046.4,80.2,73000.0,158.5,1.2
S41449,deep,moderate,improved,triple,deep,mvhr,external,ground_source,6.0,35.0,low_temp_emitters,75.31,6529.2,1.73,4.77,1368.5,0.0,405.1,2046.4,80.2,75200.0,123.5,1.2
S41113,deep,moderate,improved,triple,improved,mvhr,none,ground_source,6.0,35.0,low_temp_emitters,79.03,6851.1,1.82,4.77,1435.9,0.0,425.0,2147.2,80.2,71000.0,144.2,1.2
S41161,deep,moderate,improved,triple,improved,mvhr,external,ground_source,6.0,35.0,low_temp_emitters,79.03,6851.1,1.82,4.77,1435.9,0.0,425.0,2147.2,80.2,73200.0,109.2,1.2
S46561,deep,deep,improved,triple,deep,mvhr,none,air_to_water,6.0,35.0,low_temp_emitters,72.56,6290.8,1.67,4.24,1482.9,0.0,438.9,1971.6,77.7,66500.0,176.5,1.2
S46609,deep,deep,improved,triple,deep,mvhr,external,air_to_water,6.0,35.0,low_temp_emitters,72.56,6290.8,1.67,4.24,1482.9,0.0,438.9,1971.6,77.7,68700.0,141.5,1.2
S46009,deep,deep,improved,triple,baseline,mvhr,none,ground_source,6.0,35.0,low_temp_emitters,82.46,7149.1,1.9,4.77,1498.4,0.0,443.5,2240.6,80.2,70500.0,143.2,1.2
S46057,deep,deep,improved,triple,baseline,mvhr,external,ground_source,6.0,35.0,low_temp_emitters,82.46,7149.1,1.9,4.77,1498.4,0.0,443.5,2240.6,80.2,72700.0,108.2,1.2
S41377,deep,moderate,improved,triple,deep,mvhr,none,air_to_water,6.0,35.0,low_temp_emitters,75.31,6529.2,1.73,4.24,1539.1,0.0,455.6,2046.4,77.7,64500.0,158.5,1.2
S41425,deep,moderate,improved,triple,deep,mvhr,external,air_to_water,6.0,35.0,low_temp_emitters,75.31,6529.2,1.73,4.24,1539.1,0.0,455.6,2046.4,77.7,66700.0,123.5,1.2
S40825,deep,moderate,improved,triple,baseline,mvhr,none,ground_source,6.0,35.0,low_temp_emitters,85.21,7387.5,1.96,4.77,1548.3,0.0,458.3,2315.4,80.2,68500.0,125.2,1.2
S40873,deep,moderate,improved,triple,baseline,mvhr,external,ground_source,6.0,35.0,low_temp_emitters,85.21,7387.5,1.96,4.77,1548.3,0.0,458.3,2315.4,80.2,70700.0,90.2,1.2
S41089,deep,moderate,improved,triple,improved,mvhr,none,air_to_water,6.0,35.0,low_temp_emitters,79.03,6851.1,1.82,4.24,1615.0,0.0,478.0,2147.2,77.7,62500.0,144.2,1.2
S41137,deep,moderate,improved,triple,improved,mvhr,external,air_to_water,6.0,35.0,low_temp_emitters,79.03,6851.1,1.82,4.24,1615.0,0.0,478.0,2147.2,77.7,64700.0,109.2,1.2
S40249,deep,moderate,improved,double_low_e,improved,mvhr,none,ground_source,6.0,35.0,low_temp_emitters,89.83,7787.4,2.07,4.77,1632.2,0.0,483.1,2440.7,80.2,67500.0,152.8,1.2
S40297,deep,moderate,improved,double_low_e,improved,mvhr,external,ground_source,6.0,35.0,low_temp_emitters,89.83,7787.4,2.07,4.77,1632.2,0.0,483.1,2440.7,80.2,69700.0,117.8,1.2
S45985,deep,deep,improved,triple,baseline,mvhr,none,air_to_water,6.0,35.0,low_temp_emitters,82.46,7149.1,1.9,4.24,1685.2,0.0,498.8,2240.6,77.7,62000.0,143.2,1.2
S46033,deep,deep,improved,triple,baseline,mvhr,external,air_to_water,6.0,35.0,low_temp_emitters,82.46,7149.1,1.9,4.24,1685.2,0.0,498.8,2240.6,77.7,64200.0,108.2,1.2
S46393,deep,deep,improved,triple,deep,natural,none,ground_source,6.0,35.0,low_temp_emitters,92.77,8043.1,2.13,4.77,1685.8,0.0,499.0,2520.8,80.2,67000.0,181.5,1.2
S45145,deep,deep,improved,double_low_e,baseline,mvhr,none,ground_source,6.0,35.0,low_temp_emitters,93.26,8085.4,2.15,4.77,1694.6,0.0,501.6,2534.1,80.2,67000.0,151.8,1.2
S45193,deep,deep,improved,double_low_e,baseline,mvhr,external,ground_source,6.0,35.0,low_temp_emitters,93.26,8085.4,2.15,4.77,1694.6,0.0,501.6,2534.1,80.2,69200.0,116.8,1.2
S25849,moderate,moderate,improved,triple,deep,mvhr,none,ground_source,6.0,35.0,low_temp_emitters,95.11,8245.8,2.19,4.77,1728.2,0.0,511.6,2584.4,80.2,66000.0,140.5,1.2
S25897,moderate,moderate,improved,triple,deep,mvhr,external,ground_source,6.0,35.0,low_temp_emitters,95.11,8245.8,2.19,4.77,1728.2,0.0,511.6,2584.4,80.2,68200.0,105.5,1.2
S41209,deep,moderate,improved,triple,deep,natural,none,ground_source,6.0,35.0,low_temp_emitters,95.53,8281.6,2.2,4.77,1735.7,0.0,513.8,2595.6,80.2,65000.0,163.5,1.2
S41257,deep,moderate,improved,triple,deep,natural,external,ground_source,6.0,35.0,low_temp_emitters,95.53,8281.6,2.2,4.77,1735.7,0.0,513.8,2595.6,80.2,67200.0,128.5,1.2
S40801,deep,moderate,improved,triple,baseline,mvhr,none,air_to_water,6.0,35.0,low_temp_emitters,85.21,7387.5,1.96,4.24,1741.4,0.0,515.5,2315.4,77.7,60000.0,125.2,1.2
S40849,deep,moderate,improved,triple,baseline,mvhr,external,air_to_water,6.0,35.0,low_temp_emitters,85.21,7387.5,1.96,4.24,1741.4,0.0,515.5,2315.4,77.7,62200.0,90.2,1.2
S39961,deep,moderate,improved,double_low_e,baseline,mvhr,none,ground_source,6.0,35.0,low_temp_emitters,96.01,8323.8,2.21,4.77,1744.6,0.0,516.4,2608.8,80.2,65000.0,133.8,1.2
S40009,deep,moderate,improved,double_low_e,baseline,mvhr,external,ground_source,6.0,35.0,low_temp_emitters,96.01,8323.8,2.21,4.77,1744.6,0.0,516.4,2608.8,80.2,67200.0,98.8,1.2
S25561,moderate,moderate,improved,triple,improved,mvhr,none,ground_source,6.0,35.0,low_temp_emitters,98.83,8567.7,2.27,4.77,1795.7,0.0,531.5,2685.2,80.2,64000.0,126.2,1.2
S25609,moderate,moderate,improved,triple,improved,mvhr,external,ground_source,6.0,35.0,low_temp_emitters,98.83,8567.7,2.27,4.77,1795.7,0.0,531.5,2685.2,80.2,66200.0,91.2,1.2
S40225,deep,moderate,improved,double_low_e,improved,mvhr,none,air_to_water,6.0,35.0,low_temp_emitters,89.83,7787.4,2.07,4.24,1835.7,0.0,543.4,2440.7,77.7,59000.0,152.8,1.2
S40273,deep,moderate,improved,double_low_e,improved,mvhr,external,air_to_water,6.0,35.0,low_temp_emitters,89.83,7787.4,2.07,4.24,1835.7,0.0,543.4,2440.7,77.7,61200.0,117.8,1.2
S35641,deep,baseline,improved,triple,baseline,mvhr,none,ground_source,6.0,35.0,low_temp_emitters,101.16,8770.3,2.33,4.77,1838.2,0.0,544.1,2748.7,80.2,66000.0,107.2,1.2
S35689,deep,baseline,improved,triple,baseline,mvhr,external,ground_source,6.0,35.0,low_temp_emitters,101.16,8770.3,2.33,4.77,1838.2,0.0,544.1,2748.7,80.2,68200.0,72.2,0.6
S30457,moderate,deep,improved,triple,baseline,mvhr,none,ground_source,6.0,35.0,low_temp_emitters,102.26,8865.7,2.35,4.77,1858.2,0.0,550.0,2778.6,80.2,63500.0,125.2,1.2
S30505,moderate,deep,improved,triple,baseline,mvhr,external,ground_source,6.0,35.0,low_temp_emitters,102.26,8865.7,2.35,4.77,1858.2,0.0,550.0,2778.6,80.2,65700.0,90.2,1.2
S46369,deep,deep,improved,triple,deep,natural,none,air_to_water,6.0,35.0,low_temp_emitters,92.77,8043.1,2.13,4.24,1895.9,0.0,561.2,2520.8,77.7,58500.0,181.5,1.2
S45121,deep,deep,improved,double_low_e,baseline,mvhr,none,air_to_water,6.0,35.0,low_temp_emitters,93.26,8085.4,2.15,4.24,1905.9,0.0,564.1,2534.1,77.7,58500.0,151.8,1.2
S45169,deep,deep,improved,double_low_e,baseline,mvhr,external,air_to_water,6.0,35.0,low_temp_emitters,93.26,8085.4,2.15,4.24,1905.9,0.0,564.1,2534.1,77.7,60700.0,116.8,1.2
S25273,moderate,moderate,improved,triple,baseline,mvhr,none,ground_source,6.0,35.0,low_temp_emitters,105.01,9104.1,2.42,4.77,1908.1,0.0,564.8,2853.4,80.2,61500.0,107.2,1.2
S25321,moderate,moderate,improved,triple,baseline,mvhr,external,ground_source,6.0,35.0,low_temp_emitters,105.01,9104.1,2.42,4.77,1908.1,0.0,564.8,2853.4,80.2,63700.0,72.2,0.6
S25825,moderate,moderate,improved,triple,deep,mvhr,none,air_to_water,6.0,35.0,low_temp_emitters,95.11,8245.8,2.19,4.24,1943.7,0.0,575.3,2584.4,77.7,57500.0,140.5,1.2
S25873,moderate,moderate,improved,triple,deep,mvhr,external,air_to_water,6.0,35.0,low_temp_emitters,95.11,8245.8,2.19,4.24,1943.7,0.0,575.3,2584.4,77.7,59700.0,105.5,1.2
S41185,deep,moderate,improved,triple,deep,natural,none,air_to_water,6.0,35.0,low_temp_emitters,95.53,8281.6,2.2,4.24,1952.1,0.0,577.8,2595.6,77.7,56500.0,163.5,1.2
S41233,deep,moderate,improved,triple,deep,natural,external,air_to_water,6.0,35.0,low_temp_emitters,95.53,8281.6,2.2,4.24,1952.1,0.0,577.8,2595.6,77.7,58700.0,128.5,1.2
S39937,deep,moderate,improved,double_low_e,baseline,mvhr,none,air_to_water,6.0,35.0,low_temp_emitters,96.01,8323.8,2.21,4.24,1962.1,0.0,580.8,2608.8,77.7,56500.0,133.8,1.2
S39985,deep,moderate,improved,double_low_e,baseline,mvhr,external,air_to_water,6.0,35.0,low_temp_emitters,96.01,8323.8,2.21,4.24,1962.1,0.0,580.8,2608.8,77.7,58700.0,98.8,1.2
S24697,moderate,moderate,improved,double_low_e,improved,mvhr,none,ground_source,6.0,35.0,low_temp_emitters,109.62,9504.0,2.52,4.77,1991.9,0.0,589.6,2978.7,80.2,60500.0,134.8,1.2
S24745,moderate,moderate,improved,double_low_e,improved,mvhr,external,ground_source,6.0,35.0,low_temp_emitters,109.62,9504.0,2.52,4.77,1991.9,0.0,589.6,2978.7,80.2,62700.0,99.8,1.2
S25537,moderate,moderate,improved,triple,improved,mvhr,none,air_to_water,6.0,35.0,low_temp_emitters,98.83,8567.7,2.27,4.24,2019.6,0.0,597.8,2685.2,77.7,55500.0,126.2,1.2
S25585,moderate,moderate,improved,triple,improved,mvhr,external,air_to_water,6.0,35.0,low_temp_emitters,98.83,8567.7,2.27,4.24,2019.6,0.0,597.8,2685.2,77.7,57700.0,91.2,1.2
S30841,moderate,deep,improved,triple,deep,natural,none,ground_source,6.0,35.0,low_temp_emitters,112.58,9759.7,2.59,4.77,2045.5,0.0,605.5,3058.8,80.2,60000.0,163.5,1.2
S29593,moderate,deep,improved,double_low_e,baseline,mvhr,none,ground_source,6.0,35.0,low_temp_emitters,113.06,9802.0,2.6,4.77,2054.4,0.0,608.1,3072.1,80.2,60000.0,133.8,1.2
S29641,moderate,deep,improved,double_low_e,baseline,mvhr,external,ground_source,6.0,35.0,low_temp_emitters,113.06,9802.0,2.6,4.77,2054.4,0.0,608.1,3072.1,80.2,62200.0,98.8,1.2
S35617,deep,baseline,improved,triple,baseline,mvhr,none,air_to_water,6.0,35.0,low_temp_emitters,101.16,8770.3,2.33,4.24,2067.4,0.0,611.9,2748.7,77.7,57500.0,107.2,1.2
S35665,deep,baseline,improved,triple,baseline,mvhr,external,air_to_water,6.0,35.0,low_temp_emitters,101.16,8770.3,2.33,4.24,2067.4,0.0,611.9,2748.7,77.7,59700.0,72.2,0.6
S30433,moderate,deep,improved,triple,baseline,mvhr,none,air_to_water,6.0,35.0,low_temp_emitters,102.26,8865.7,2.35,4.24,2089.8,0.0,618.6,2778.6,77.7,55000.0,125.2,1.2
S30481,moderate,deep,improved,triple,baseline,mvhr,external,air_to_water,6.0,35.0,low_temp_emitters,102.26,8865.7,2.35,4.24,2089.8,0.0,618.6,2778.6,77.7,57200.0,90.2,1.2
S25657,moderate,moderate,improved,triple,deep,natural,none,ground_source,6.0,35.0,low_temp_emitters,115.33,9998.1,2.65,4.77,2095.5,0.0,620.3,3133.6,80.2,58000.0,145.5,1.2
S25705,moderate,moderate,improved,triple,deep,natural,external,ground_source,6.0,35.0,low_temp_emitters,115.33,9998.1,2.65,4.77,2095.5,0.0,620.3,3133.6,80.2,60200.0,110.5,1.2
S24409,moderate,moderate,improved,double_low_e,baseline,mvhr,none,ground_source,6.0,35.0,low_temp_emitters,115.81,10040.4,2.66,4.77,2104.4,0.0,622.9,3146.8,80.2,58000.0,115.8,1.2
S24457,moderate,moderate,improved,double_low_e,baseline,mvhr,external,ground_source,6.0,35.0,low_temp_emitters,115.81,10040.4,2.66,4.77,2104.4,0.0,622.9,3146.8,80.2,60200.0,80.8,1.2
S25249,moderate,moderate,improved,triple,baseline,mvhr,none,air_to_water,6.0,35.0,low_temp_emitters,105.01,9104.1,2.42,4.24,2146.0,0.0,635.2,2853.4,77.7,53000.0,107.2,1.2
S25297,moderate,moderate,improved,triple,baseline,mvhr,external,air_to_water,6.0,35.0,low_temp_emitters,105.01,9104.1,2.42,4.24,2146.0,0.0,635.2,2853.4,77.7,55200.0,72.2,0.6
S20089,moderate,baseline,improved,triple,baseline,mvhr,none,ground_source,6.0,35.0,low_temp_emitters,120.96,10486.9,2.78,4.77,2197.9,0.0,650.6,3286.7,80.2,59000.0,89.2,1.2
S20137,moderate,baseline,improved,triple,baseline,mvhr,external,ground_source,6.0,35.0,low_temp_emitters,120.96,10486.9,2.78,4.77,2197.9,0.0,650.6,3286.7,80.2,61200.0,54.2,0.6
S39097,deep,moderate,improved,baseline,baseline,mvhr,none,ground_source,6.0,35.0,low_temp_emitters,121.21,10508.5,2.79,4.77,2202.5,0.0,651.9,3293.5,80.2,57500.0,146.5,1.2
S24673,moderate,moderate,improved,double_low_e,improved,mvhr,none,air_to_water,6.0,35.0,low_temp_emitters,109.62,9504.0,2.52,4.24,2240.3,0.0,663.1,2978.7,77.7,52000.0,134.8,1.2
S24721,moderate,moderate,improved,double_low_e,improved,mvhr,external,air_to_water,6.0,35.0,low_temp_emitters,109.62,9504.0,2.52,4.24,2240.3,0.0,663.1,2978.7,77.7,54200.0,99.8,1.2
S29977,moderate,deep,improved,double_low_e,deep,natural,none,ground_source,6.0,35.0,low_temp_emitters,123.38,10696.0,2.84,4.77,2241.8,0.0,663.6,3352.3,80.2,56500.0,172.0,1.2
S22969,moderate,moderate,baseline,triple,improved,mvhr,none,ground_source,6.0,35.0,low_temp_emitters,123.58,10713.4,2.84,4.77,2245.4,0.0,664.6,3357.7,80.2,58500.0,108.2,1.2
S23017,moderate,moderate,baseline,triple,improved,mvhr,external,ground_source,6.0,35.0,low_temp_emitters,123.58,10713.4,2.84,4.77,2245.4,0.0,664.6,3357.7,80.2,60700.0,73.2,0.6
S24793,moderate,moderate,improved,double_low_e,deep,natural,none,ground_source,6.0,35.0,low_temp_emitters,126.12,10934.4,2.9,4.77,2291.7,0.0,678.4,3427.0,80.2,54500.0,154.0,1.2
S24841,moderate,moderate,improved,double_low_e,deep,natural,external,ground_source,6.0,35.0,low_temp_emitters,126.12,10934.4,2.9,4.77,2291.7,0.0,678.4,3427.0,80.2,56700.0,119.0,1.2
S30817,moderate,deep,improved,triple,deep,natural,none,air_to_water,6.0,35.0,low_temp_emitters,112.58,9759.7,2.59,4.24,2300.6,0.0,681.0,3058.8,77.7,51500.0,163.5,1.2
S27865,moderate,deep,baseline,triple,baseline,mvhr,none,ground_source,6.0,35.0,low_temp_emitters,127.01,11011.4,2.92,4.77,2307.9,0.0,683.1,3451.1,80.2,58000.0,107.2,1.2
S27913,moderate,deep,baseline,triple,baseline,mvhr,external,ground_source,6.0,35.0,low_temp_emitters,127.01,11011.4,2.92,4.77,2307.9,0.0,683.1,3451.1,80.2,60200.0,72.2,0.6
S29569,moderate,deep,improved,double_low_e,baseline,mvhr,none,air_to_water,6.0,35.0,low_temp_emitters,113.06,9802.0,2.6,4.24,2310.5,0.0,683.9,3072.1,77.7,51500.0,133.8,1.2
S29617,moderate,deep,improved,double_low_e,baseline,mvhr,external,air_to_water,6.0,35.0,low_temp_emitters,113.06,9802.0,2.6,4.24,2310.5,0.0,683.9,3072.1,77.7,53700.0,98.8,1.2
S25369,moderate,moderate,improved,triple,improved,natural,none,ground_source,6.0,35.0,low_temp_emitters,127.7,11071.0,2.94,4.77,2320.4,0.0,686.8,3469.8,80.2,56000.0,131.2,1.2
S25417,moderate,moderate,improved,triple,improved,natural,external,ground_source,6.0,35.0,low_temp_emitters,127.7,11071.0,2.94,4.77,2320.4,0.0,686.8,3469.8,80.2,58200.0,96.2,1.2
S25633,moderate,moderate,improved,triple,deep,natural,none,air_to_water,6.0,35.0,low_temp_emitters,115.33,9998.1,2.65,4.24,2356.8,0.0,697.6,3133.6,77.7,49500.0,145.5,1.2
S25681,moderate,moderate,improved,triple,deep,natural,external,air_to_water,6.0,35.0,low_temp_emitters,115.33,9998.1,2.65,4.24,2356.8,0.0,697.6,3133.6,77.7,51700.0,110.5,1.2
S22681,moderate,moderate,baseline,triple,baseline,mvhr,none,ground_source,6.0,35.0,low_temp_emitters,129.76,11249.8,2.98,4.77,2357.8,0.0,697.9,3525.8,80.2,56000.0,89.2,1.2
S22729,moderate,moderate,baseline,triple,baseline,mvhr,external,ground_source,6.0,35.0,low_temp_emitters,129.76,11249.8,2.98,4.77,2357.8,0.0,697.9,3525.8,80.2,58200.0,54.2,0.6
S24385,moderate,moderate,improved,double_low_e,baseline,mvhr,none,air_to_water,6.0,35.0,low_temp_emitters,115.81,10040.4,2.66,4.24,2366.7,0.0,700.6,3146.8,77.7,49500.0,115.8,1.2
S24433,moderate,moderate,improved,double_low_e,baseline,mvhr,external,air_to_water,6.0,35.0,low_temp_emitters,115.81,10040.4,2.66,4.24,2366.7,0.0,700.6,3146.8,77.7,51700.0,80.8,1.2
S20473,moderate,baseline,improved,triple,deep,natural,none,ground_source,6.0,35.0,low_temp_emitters,131.28,11380.9,3.02,4.77,2385.3,0.0,706.1,3566.9,80.2,55500.0,127.5,1.2
S39481,deep,moderate,improved,baseline,deep,natural,none,ground_source,6.0,35.0,low_temp_emitters,131.53,11402.6,3.03,4.77,2389.9,0.0,707.4,3573.7,80.2,54000.0,184.8,1.2
S19225,moderate,baseline,improved,double_low_e,baseline,mvhr,none,ground_source,6.0,35.0,low_temp_emitters,131.76,11423.2,3.03,4.77,2394.2,0.0,708.7,3580.2,80.2,55500.0,97.8,1.2
S19273,moderate,baseline,improved,double_low_e,baseline,mvhr,external,ground_source,6.0,35.0,low_temp_emitters,131.76,11423.2,3.03,4.77,2394.2,0.0,708.7,3580.2,80.2,57700.0,62.8,0.6
S22105,moderate,moderate,baseline,double_low_e,improved,mvhr,none,ground_source,6.0,35.0,low_temp_emitters,134.38,11649.7,3.09,4.77,2441.7,0.0,722.7,3651.2,80.2,55000.0,116.8,1.2
S22153,moderate,moderate,baseline,double_low_e,improved,mvhr,external,ground_source,6.0,35.0,low_temp_emitters,134.38,11649.7,3.09,4.77,2441.7,0.0,722.7,3651.2,80.2,57200.0,81.8,1.2
S23833,moderate,moderate,improved,baseline,improved,mvhr,none,ground_source,6.0,35.0,low_temp_emitters,134.82,11688.7,3.1,4.77,2449.8,0.0,725.1,3663.4,80.2,53000.0,147.5,1.2
S23881,moderate,moderate,improved,baseline,improved,mvhr,external,ground_source,6.0,35.0,low_temp_emitters,134.82,11688.7,3.1,4.77,2449.8,0.0,725.1,3663.4,80.2,55200.0,112.5,1.2
S20065,moderate,baseline,improved,triple,baseline,mvhr,none,air_to_water,6.0,35.0,low_temp_emitters,120.96,10486.9,2.78,4.24,2472.0,0.0,731.7,3286.7,77.7,50500.0,89.2,1.2
S20113,moderate,baseline,improved,triple,baseline,mvhr,external,air_to_water,6.0,35.0,low_temp_emitters,120.96,10486.9,2.78,4.24,2472.0,0.0,731.7,3286.7,77.7,52700.0,54.2,0.6
S39073,deep,moderate,improved,baseline,baseline,mvhr,none,air_to_water,6.0,35.0,low_temp_emitters,121.21,10508.5,2.79,4.24,2477.1,0.0,733.2,3293.5,77.7,49000.0,146.5,1.2
S28249,moderate,deep,baseline,triple,deep,natural,none,ground_source,6.0,35.0,low_temp_emitters,137.32,11905.4,3.16,4.77,2495.3,0.0,738.6,3731.3,80.2,54500.0,145.5,1.2
S27001,moderate,deep,baseline,double_low_e,baseline,mvhr,none,ground_source,6.0,35.0,low_temp_emitters,137.81,11947.7,3.17,4.77,2504.1,0.0,741.2,3744.6,80.2,54500.0,115.8,1.2
S27049,moderate,deep,baseline,double_low_e,baseline,mvhr,external,ground_source,6.0,35.0,low_temp_emitters,137.81,11947.7,3.17,4.77,2504.1,0.0,741.2,3744.6,80.2,56700.0,80.8,1.2
S28729,moderate,deep,improved,baseline,baseline,mvhr,none,ground_source,6.0,35.0,low_temp_emitters,138.26,11986.7,3.18,4.77,2512.3,0.0,743.6,3756.8,80.2,52500.0,146.5,1.2
S28777,moderate,deep,improved,baseline,baseline,mvhr,external,ground_source,6.0,35.0,low_temp_emitters,138.26,11986.7,3.18,4.77,2512.3,0.0,743.6,3756.8,80.2,54700.0,111.5,1.2
S24505,moderate,moderate,improved,double_low_e,improved,natural,none,ground_source,6.0,35.0,low_temp_emitters,138.5,12007.3,3.19,4.77,2516.6,0.0,744.9,3763.3,80.2,52500.0,139.8,1.2
S24553,moderate,moderate,improved,double_low_e,improved,natural,external,ground_source,6.0,35.0,low_temp_emitters,138.5,12007.3,3.19,4.77,2516.6,0.0,744.9,3763.3,80.2,54700.0,104.8,1.2
S29953,moderate,deep,improved,double_low_e,deep,natural,none,air_to_water,6.0,35.0,low_temp_emitters,123.38,10696.0,2.84,4.24,2521.3,0.0,746.3,3352.3,77.7,48000.0,172.0,1.2
S22945,moderate,moderate,baseline,triple,improved,mvhr,none,air_to_water,6.0,35.0,low_temp_emitters,123.58,10713.4,2.84,4.24,2525.4,0.0,747.5,3357.7,77.7,50000.0,108.2,1.2
S22993,moderate,moderate,baseline,triple,improved,mvhr,external,air_to_water,6.0,35.0,low_temp_emitters,123.58,10713.4,2.84,4.24,2525.4,0.0,747.5,3357.7,77.7,52200.0,73.2,0.6
S23065,moderate,moderate,baseline,triple,deep,natural,none,ground_source,6.0,35.0,low_temp_emitters,140.07,12143.8,3.22,4.77,2545.2,0.0,753.4,3806.1,80.2,52500.0,127.5,1.2
S23113,moderate,moderate,baseline,triple,deep,natural,external,ground_source,6.0,35.0,low_temp_emitters,140.07,12143.8,3.22,4.77,2545.2,0.0,753.4,3806.1,80.2,54700.0,92.5,1.2
S21817,moderate,moderate,baseline,double_low_e,baseline,mvhr,none,ground_source,6.0,35.0,low_temp_emitters,140.56,12186.1,3.23,4.77,2554.1,0.0,756.0,3819.3,80.2,52500.0,97.8,1.2
